id	company	role	application_status	listing_status	decision_reason
job-0001	CVAT.ai	Frontend Developer	applied	unknown	
job-0002	iLogos Game Studios	Middle Pixi.JS/Playable Ads Developer	not_started	closed	closed_before_application
job-0003	Almedia	Junior Frontend Engineer	not_started	unknown	geo_restriction
job-0004	Primer	Frontend Engineer	not_started	open	geo_restriction
job-0005	Geniusee	Middle React Engineer	not_started	closed	closed_before_application
job-0006	Sumsub	Junior+ Frontend Developer	not_started	closed	closed_before_application
job-0007	Pixel Systems	Associate Frontend Developer	not_started	closed	closed_before_application
job-0008	Alpine Business Consulting	Junior React Developer	not_started	closed	closed_before_application
job-0009	Bavarian Capital	Frontend Engineer Intern	not_started	closed	closed_before_application
job-0010	Bavarian Capital	Graduate Frontend Developer	not_started	closed	closed_before_application
job-0011	Primer	Join our Talent Community	applied	unknown	
job-0012	Yoko Co	Front-End WordPress Developer	applied	unknown	
job-0013	Hook & Ladder	Web Developer	not_started	unknown	other
job-0014	OnTheGoSystems	AI-Native Software Developer	applied	unknown	
job-0015	Cleo AI	Engineer (React/React Native)	not_started	closed	closed_before_application
job-0016	Amplemarket	Frontend Software Engineer	applied	unknown	
job-0017	FACEIT	Frontend Software Engineer	not_started	closed	closed_before_application
job-0018	epilot	Senior/Staff Product Engineer (Frontend)	not_started	unknown	seniority_too_high
job-0019	Majestic RP	Frontend Developer (Vue)	not_started	closed	closed_before_application
job-0020	Delta Capita	Frontend Engineer (SaaS)	not_started	unknown	work_authorization
job-0021	Zenitech	Frontend Developer (React)	not_started	closed	closed_before_application
job-0022	Canonical	Web Frontend Engineer - JS, CSS, React, Flutter	not_started	unknown	other
job-0023	Canonical	Web Developer	not_started	unknown	other
job-0024	Ruby Labs	CMS Template Engineer	not_started	closed	closed_before_application
job-0025	Game Gears	Playable Ads Developer	not_started	closed	closed_before_application
job-0026	Sigma Software	Junior JavaScript Developer	applied	open	
job-0027	Skyrocket Studios	Junior Web Developer	not_started	unknown	work_authorization
job-0028	Storyteller	Junior Web Developer	not_started	unknown	geo_restriction
job-0029	Undisclosed (hirify-588196)	Junior Web Developer (WordPress/PHP)	not_started	unknown	stack_mismatch
job-0030	Undisclosed (hirify-782813)	Junior Frontend Developer (TypeScript)	not_started	unknown	salary_too_low
job-0031	DraftKings	Software Engineer, Frontend (iGaming)	not_started	closed	closed_before_application
job-0032	MixRank	Junior Software Engineer - Remote (Global), Full-Time	applied	unknown	
job-0033	Sky	Creative Developer	not_started	unknown	geo_restriction
job-0034	Excdev	Website Administrator (WordPress)	not_started	unknown	stack_mismatch
job-0035	Synthesia	Frontend Software Engineer (Accessibility)	not_started	unknown	geo_restriction
job-0036	Technopark Skolkovo	Junior Frontend Developer (React)	not_started	unknown	geo_restriction
job-0037	BlackRock	Associate Frontend Software Engineer (React)	not_started	unknown	geo_restriction
job-0038	CUBE	Frontend Engineer - Agentic AI	not_started	unknown	geo_restriction
job-0039	Jungle Gaming	Junior Frontend Developer (iGaming)	not_started	unknown	geo_restriction
job-0040	SharkNinja	Fall 2026: CodeShark, DTC Digital Experience Web Development	not_started	unknown	geo_restriction
job-0041	Undisclosed (hirify-454474)	Junior Frontend Web Developer	not_started	closed	closed_before_application
job-0042	Nexshift	Frontend Software Engineer	not_started	unknown	geo_restriction
job-0043	Blue Oak Consulting	Graduate Frontend Developer	not_started	unknown	geo_restriction
job-0044	Hyra	Software Engineer	not_started	unknown	geo_restriction
job-0045	Sundayy	Software Engineer (TypeScript, Node.js)	not_started	unknown	geo_restriction
job-0046	ClickUp	Staff Frontend Engineer	not_started	unknown	seniority_too_high
job-0047	ClickUp	Staff Frontend Engineer	not_started	unknown	seniority_too_high
job-0048	Helic & Co	Junior Software Developer	not_started	unknown	geo_restriction
job-0049	Netrolynx AI	Frontend Developer	not_started	unknown	geo_restriction
job-0050	Skyrocket Studios	Mid-Level Developer	not_started	unknown	stack_mismatch
job-0051	Storyteller	Content Operations Analyst	applied	unknown	
job-0052	Storyteller	Operations Associate	applied	unknown	
job-0053	Storyteller	AI Operations Manager	rejected	unknown	
job-0054	SuperPlane	Product Engineer	applied	open	
job-0055	ElevenLabs	Full-Stack Engineer (Front-End Leaning)	rejected	unknown	
job-0056	Nortal	AI - Driven FrontEnd Developer	rejected	unknown	
job-0057	Santander Auto Software	Frontend Engineer	not_started	unknown	geo_restriction
job-0058	MWDN	Frontend Engineer	not_started	unknown	seniority_too_high
job-0059	Broadvoice	Software Engineer	not_started	unknown	seniority_too_high
job-0060	Nortal	Frontend Developer (m/w/d)	not_started	unknown	geo_restriction
job-0061	Optimus Search	Javascript Developer	not_started	unknown	geo_restriction
job-0062	Jobgether	Software Engineer, Front End Leaning, Agents	not_started	unknown	other
job-0063	FetchJobs.co (linkedin-4451398325)	Frontend Developer	not_started	unknown	other
job-0064	TransPerfect / Avatria	Commerce & Content Front End Technical Consultant	applied	unknown	
job-0065	Kodees Labs	Frontend Developer Intern (Next.js + TypeScript)	not_started	open	salary_too_low
job-0066	travokarma	Website Development Intern	not_started	open	salary_too_low
job-0067	Costy	Product Design Engineer	not_started	open	role_not_frontend
job-0068	Pitchmatter	Frontend Developer Intern (React/Next.js)	not_started	open	salary_too_low
job-0069	Fluent Labs	Front End Developer	not_started	open	salary_too_low
job-0070	Bitgreen	Full-time Serbia Next.js React Javascript	not_started	unknown	seniority_too_high
job-0071	Gorillas Guild	Co-founder & Full-Stack Engineer	not_started	unknown	other
job-0072	SWARA	Software Developer	not_started	unknown	role_not_frontend
job-0073	CentralApp	Product Engineer	not_started	unknown	geo_restriction
job-0074	Pareto Holdings	Design Engineer	not_started	closed	closed_before_application
job-0075	Tryapplynow	Junior Frontend Developer	not_started	closed	closed_before_application
job-0076	Grovyn	Frontend Intern	not_started	closed	closed_before_application
job-0077	Circle	Design Engineer	not_started	closed	closed_before_application
job-0078	Zoftify — Travel Software Development	Frontend Developer (React)	applied	unknown	
job-0079	Stedi	Frontend Engineer	applied	unknown	
job-0080	TRIA	Game Developer	not_started	closed	closed_before_application
job-0081	Choice	Frontend Developer	not_started	closed	closed_before_application
job-0082	KDCI	Web Developer	not_started	closed	closed_before_application
job-0083	Renesas Electronics	Senior Front-end Engineer	not_started	unknown	seniority_too_high
job-0084	Greencastle Digital	Senior Software Engineer - React	not_started	unknown	seniority_too_high
job-0085	SMG Serbia	Senior Full Stack Engineer (Web Focused)	not_started	unknown	seniority_too_high
job-0086	Ruya AI	Senior Full Stack Frontend Engineer	not_started	unknown	seniority_too_high
job-0087	Jobgether	Frontend Engineer (React)	not_started	unknown	other
job-0088	defdone	Software development Frontend Developer	applied	unknown	
job-0089	CIMSOLUTIONS	Front-end Developer	not_started	unknown	geo_restriction
job-0090	Golf GameBook	Frontend Developer	not_started	unknown	geo_restriction
job-0091	Movify Luxembourg	React Developer	not_started	unknown	geo_restriction
job-0092	AND Digital	Frontend Developer Amsterdam (React)	not_started	closed	closed_before_application
job-0093	Spait Infotech	Frontend Developer	not_started	unknown	geo_restriction
job-0094	SolutionLab	Front-end developer (React)	applied	unknown	
job-0095	OneJar	Junior Full-Stack Engineer	not_started	unknown	geo_restriction
job-0096	Hire Feed (linkedin-4451380936)	Fullstack Developer (React/Node.js) (Remote)	not_started	unknown	other
job-0097	Hire Feed (linkedin-4451397328)	Senior Frontend Software Engineer (Typescript) (Remote)	not_started	unknown	seniority_too_high
job-0098	ClickUp	Staff Frontend Engineer	not_started	unknown	duplicate_listing
job-0099	Homeward	Software Engineer, Front-end (Latin America)	not_started	unknown	geo_restriction
job-0100	FCamara	Desenvolvedor Frontend Angular - Pleno	not_started	unknown	geo_restriction
job-0101	FCamara	Desenvolvedor Front-end Engineer - Pleno	not_started	unknown	geo_restriction
job-0102	REW Technology	Front End Engineer	not_started	closed	closed_before_application
job-0103	Mindrift	Freelance Frontend Developer (Landing Pages & Websites)	not_started	unknown	geo_restriction
job-0104	FCamara	Pessoa Desenvolvedora Front-end (Desenvolvedor de IA Conversacional) - Pleno	not_started	unknown	geo_restriction
job-0105	Cuponomia	Desenvolvedor(a) Front-End Júnior | Pleno	not_started	unknown	geo_restriction
job-0106	Mindrift	Freelance Frontend Developer (Landing Pages & Websites)	not_started	unknown	geo_restriction
job-0107	ASRC Federal	Geospatial Front-End Developer	not_started	unknown	geo_restriction
job-0108	Worky	Frontend Developer	not_started	unknown	geo_restriction
job-0109	BigBinary	React Native Engineer	not_started	unknown	geo_restriction
job-0110	Devoteam	Nearshore Sector | Mid Fullstack Java/React Developer	not_started	open	role_not_frontend
job-0111	TalentCross	1225 - 410MOS | Full Stack Engineer (React, Node.js, PostgreSQL, Web Scraping, A	not_started	open	other
job-0112	Pavago	Shopify Web Developer	not_started	unknown	geo_restriction
job-0113	Spektra Systems	AI-Native Web Developer	not_started	unknown	geo_restriction
job-0114	Pavago	Shopify Web Developer	not_started	unknown	geo_restriction
job-0115	allego	Web Developer	not_started	unknown	geo_restriction
job-0116	Netomi	SDE II - Frontend	not_started	unknown	geo_restriction
job-0117	IXILIX	Front End Developer	not_started	unknown	seniority_too_high
job-0118	Revvity	Front-End AI Co-op Marketing - REMOTE (Fall 2026)	not_started	unknown	geo_restriction
job-0119	mercor	Frontend Engineer - AI Coding Expert	not_started	unknown	geo_restriction
job-0120	Clera	Full Stack Frontend Engineer	not_started	unknown	geo_restriction
job-0121	Careerswift	Frontend Developer (React) – Junior / Middle	not_started	unknown	geo_restriction
job-0122	AI2CYBER	Frontend Developer	not_started	unknown	geo_restriction
job-0123	Black Financial Consult	FRONTEND ENGINEER	not_started	unknown	geo_restriction
job-0124	micro1	Frontend Software Engineer	apply	open	
job-0125	Freelancerprox	Frontend Developer - Intern	not_started	unknown	geo_restriction
job-0126	Mactores	Full Stack Product Engineer, Agent Native	not_started	unknown	geo_restriction
job-0127	ElevenLabs	Growth Engineer, Website	not_started	open	other
job-0128	Undisclosed (hirify-652587)	Frontend Engineer (Payments)	not_started	unknown	geo_restriction
job-0129	Undisclosed (hirify-job-0129)	Frontend Engineer (React/TypeScript)	not_started	unknown	other
job-0130	Quinncia	Frontend Developer	applied	open	
job-0131	Constructor Tech	Frontend Engineer Intern	not_started	open	other
job-0132	Zensors	Frontend Web Developer React/Typescript (Remote)	applied	open	
job-0133	Maker	Product Engineer (Remote)	applied	open	
job-0134	Base.com	Full-Stack Developer (React + AWS)	not_started	open	geo_restriction
job-0135	Business Web Solutions	Web Developer Intern	not_started	unknown	stack_mismatch
job-0136	Remote VA	Web Developer (BigCommerce Experience Required)	not_started	unknown	salary_too_low
job-0137	MyTraffic	Software Engineer - (M/F)	not_started	open	role_not_frontend
job-0138	Zen Educate	Product Engineer (Remote - EMEA)	not_started	closed	closed_before_application
job-0139	Giant Swarm	Frontend Engineer	not_started	closed	closed_before_application
job-0140	Dalma	Frontend Engineer Intern (React / React Native)	not_started	unknown	geo_restriction
job-0141	StrangeBee	Junior React / TypeScript Software Engineer	not_started	closed	closed_before_application
job-0142	Cogram	Design Engineer, Technical Designer, or PM	applied	unknown	
job-0143	aSim	Software Engineer, Front End + Product	applied	unknown	
job-0144	SerpApi	Junior Fullstack Engineer	applied	open	
job-0145	Ojin	Product Engineer	rejected	open	
job-0146	Orbit	Product Engineer	not_started	closed	closed_before_application
job-0147	World Anvil	Entry/Junior React / JavaScript Developer	applied	unknown	
job-0148	ArtWod	Support Engineer	applied	open	
job-0149	Starlet	Full-Stack Developer (React)	not_started	open	other
job-0150	Undisclosed (hirify-823409)	Web Developer	not_started	closed	closed_before_application
job-0151	SOFTSWISS	Frontend Developer (React) - Middle	rejected	unknown	
job-0152	Sporty Group	Frontend Engineer	not_started	unknown	seniority_too_high
job-0153	Ritual	Frontend Engineer	not_started	unknown	seniority_too_high
job-0154	Native	Front-End Engineer	not_started	unknown	seniority_too_high
job-0155	Nuclear	Software Engineer	not_started	unknown	seniority_too_high
job-0156	Undisclosed (hirify-821427)	Senior Frontend Software Engineer (AI)	not_started	unknown	seniority_too_high
job-0157	SAVEUR Studio	Trainee Frontend Developer (React)	not_started	unknown	geo_restriction
job-0158	ЦФТ	Frontend Developer (React)	not_started	unknown	geo_restriction
job-0159	Undisclosed (hirify-692122)	Middle React Developer (React)	not_started	unknown	seniority_too_high
job-0160	Aviasales	Frontend Developer (User Platform)	not_started	closed	closed_before_application
job-0161	Plata Card	Low-Code Engineer - Middle/Middle+ [HR Automation]	not_started	open	role_not_frontend
job-0162	Undisclosed (hirify-353313)	Senior Frontend Developer (React/TypeScript)	not_started	unknown	seniority_too_high
job-0163	Aveds	Frontend Intern	not_started	unknown	geo_restriction
job-0164	Undisclosed (hirify-736688)	Frontend Developer (React/TypeScript)	not_started	unknown	seniority_too_high
job-0165	Sulpont Creative Event Agency	JavaScript / TypeScript Developer (HTML5 Games)	not_started	unknown	geo_restriction
job-0166	Betting Software	Frontend Developer (Gamedev)	not_started	unknown	geo_restriction
job-0167	Undisclosed (hirify-723818)	Associate Software Engineer (AI First) (Frontend)	not_started	unknown	geo_restriction
job-0168	Undisclosed (hirify-334257)	Frontend Developer (React/TypeScript)	not_started	unknown	other
job-0169	Undisclosed (hirify-349360)	Frontend Developer	not_started	closed	closed_before_application
job-0170	Undisclosed (hirify-604239)	React Developer	not_started	closed	closed_before_application
job-0171	Atlantis	Frontend Engineer (React)	not_started	closed	closed_before_application
job-0172	CoreView	Frontend Engineer	not_started	unknown	geo_restriction
job-0173	FetchJobs.co (linkedin-4453666286)	Frontend Developer	not_started	unknown	geo_restriction
job-0174	SingleStore	Software Engineer | Frontend	not_started	unknown	geo_restriction
job-0175	Planimatik	Frontend Developer	not_started	unknown	geo_restriction
job-0176	MC Engineering	AI Frontend Engineer	not_started	unknown	geo_restriction
job-0177	Apply4U | Human-Assisted AI Job & Recruitment Platform	Junior Software Engineer	not_started	unknown	geo_restriction
job-0178	Revolut	Frontend Software Engineer	not_started	unknown	geo_restriction
job-0179	Revolut	Web Software Engineer	not_started	unknown	geo_restriction
job-0180	Tickmill	Front-End Developer (React)	not_started	unknown	geo_restriction
job-0181	Proxify	Senior Frontend Developer (Vue.js)	not_started	unknown	seniority_too_high
